date,time,latitude,longitude
2019-7-11,9:41:42,48.175744,11.764677
2019-7-11,9:41:43,48.175744,11.764677
2019-7-11,9:41:44,48.175744,11.764677
2019-7-11,9:41:45,48.175744,11.764677
2019-7-11,9:41:46,48.175744,11.764677
2019-7-11,9:41:47,48.175744,11.764677
2019-7-11,9:41:48,48.175744,11.764677
2019-7-11,9:41:49,48.175744,11.764677
2019-7-11,9:41:50,48.175744,11.764677
2019-7-11,9:41:51,48.175744,11.764677
2019-7-11,9:41:52,48.175744,11.764677
2019-7-11,9:41:53,48.175744,11.764677
2019-7-11,9:41:54,48.175744,11.764677
2019-7-11,9:41:55,48.175744,11.764677
2019-7-11,9:41:56,48.175744,11.764677
2019-7-11,9:41:57,48.175744,11.764677
2019-7-11,9:41:58,48.175744,11.764677
2019-7-11,9:41:59,48.175744,11.764677
2019-7-11,9:42:0,48.175726,11.764687
